Job ID:     9516064
Node:       node3200
GPU:        0
Start time: Sat Feb 21 14:15:30 EST 2026
=== Training teacher (strong model) ===
  [T=5] Epoch  8 | loss 0.3243 | train_acc 0.9878 | test_acc 0.9791
  [T=5] Epoch  9 | loss 0.2879 | train_acc 0.9888 | test_acc 0.9790
  [T=5] Epoch 10 | loss 0.2591 | train_acc 0.9902 | test_acc 0.9792

=== Distilling  T=6  alpha=0.1 ===
  [T=6] Epoch  1 | loss 9.7323 | train_acc 0.8580 | test_acc 0.9306
  [T=6] Epoch  2 | loss 2.4672 | train_acc 0.9464 | test_acc 0.9588
  [T=6] Epoch  3 | loss 1.3167 | train_acc 0.9664 | test_acc 0.9682
  [T=6] Epoch  4 | loss 0.8749 | train_acc 0.9742 | test_acc 0.9725
  [T=6] Epoch  5 | loss 0.6580 | train_acc 0.9796 | test_acc 0.9757
  [T=6] Epoch  6 | loss 0.5339 | train_acc 0.9826 | test_acc 0.9776
  [T=6] Epoch  7 | loss 0.4538 | train_acc 0.9853 | test_acc 0.9780
  [T=6] Epoch  8 | loss 0.4042 | train_acc 0.9866 | test_acc 0.9785
  [T=6] Epoch  9 | loss 0.3560 | train_acc 0.9883 | test_acc 0.9796
  [T=6] Epoch 10 | loss 0.3243 | train_acc 0.9895 | test_acc 0.9791

=== Distilling  T=7  alpha=0.1 ===
  [T=7] Epoch  1 | loss 11.3493 | train_acc 0.8542 | test_acc 0.9302
  [T=7] Epoch  2 | loss 2.7813 | train_acc 0.9455 | test_acc 0.9584
  [T=7] Epoch  3 | loss 1.4681 | train_acc 0.9654 | test_acc 0.9688
  [T=7] Epoch  4 | loss 0.9733 | train_acc 0.9745 | test_acc 0.9723
  [T=7] Epoch  5 | loss 0.7349 | train_acc 0.9798 | test_acc 0.9764
  [T=7] Epoch  6 | loss 0.6040 | train_acc 0.9826 | test_acc 0.9768
  [T=7] Epoch  7 | loss 0.5179 | train_acc 0.9847 | test_acc 0.9784
  [T=7] Epoch  8 | loss 0.4650 | train_acc 0.9860 | test_acc 0.9791
  [T=7] Epoch  9 | loss 0.4116 | train_acc 0.9876 | test_acc 0.9801
  [T=7] Epoch 10 | loss 0.3769 | train_acc 0.9889 | test_acc 0.9796

=== Distilling  T=8  alpha=0.1 ===
  [T=8] Epoch  1 | loss 12.6241 | train_acc 0.8490 | test_acc 0.9294
  [T=8] Epoch  2 | loss 3.0033 | train_acc 0.9454 | test_acc 0.9590
  [T=8] Epoch  3 | loss 1.5876 | train_acc 0.9657 | test_acc 0.9689
  [T=8] Epoch  4 | loss 1.0556 | train_acc 0.9745 | test_acc 0.9736
  [T=8] Epoch  5 | loss 0.8074 | train_acc 0.9796 | test_acc 0.9766
  [T=8] Epoch  6 | loss 0.6692 | train_acc 0.9828 | test_acc 0.9768
  [T=8] Epoch  7 | loss 0.5710 | train_acc 0.9844 | test_acc 0.9791
  [T=8] Epoch  8 | loss 0.5156 | train_acc 0.9861 | test_acc 0.9787
  [T=8] Epoch  9 | loss 0.4589 | train_acc 0.9878 | test_acc 0.9797
  [T=8] Epoch 10 | loss 0.4250 | train_acc 0.9888 | test_acc 0.9801

=== Distilling  T=9  alpha=0.1 ===
  [T=9] Epoch  1 | loss 13.5145 | train_acc 0.8465 | test_acc 0.9296
  [T=9] Epoch  2 | loss 3.1417 | train_acc 0.9448 | test_acc 0.9583
  [T=9] Epoch  3 | loss 1.6827 | train_acc 0.9653 | test_acc 0.9698
  [T=9] Epoch  4 | loss 1.1287 | train_acc 0.9744 | test_acc 0.9731
  [T=9] Epoch  5 | loss 0.8641 | train_acc 0.9795 | test_acc 0.9762
  [T=9] Epoch  6 | loss 0.7129 | train_acc 0.9826 | test_acc 0.9767
  [T=9] Epoch  7 | loss 0.6105 | train_acc 0.9848 | test_acc 0.9782
  [T=9] Epoch  8 | loss 0.5504 | train_acc 0.9862 | test_acc 0.9777
  [T=9] Epoch  9 | loss 0.4920 | train_acc 0.9872 | test_acc 0.9790
  [T=9] Epoch 10 | loss 0.4581 | train_acc 0.9885 | test_acc 0.9786

=== Distilling  T=10  alpha=0.1 ===
  [T=10] Epoch  1 | loss 14.1397 | train_acc 0.8435 | test_acc 0.9301
  [T=10] Epoch  2 | loss 3.2071 | train_acc 0.9453 | test_acc 0.9597
  [T=10] Epoch  3 | loss 1.7379 | train_acc 0.9651 | test_acc 0.9694
  [T=10] Epoch  4 | loss 1.1797 | train_acc 0.9746 | test_acc 0.9723
  [T=10] Epoch  5 | loss 0.9087 | train_acc 0.9797 | test_acc 0.9753
  [T=10] Epoch  6 | loss 0.7556 | train_acc 0.9827 | test_acc 0.9759
  [T=10] Epoch  7 | loss 0.6569 | train_acc 0.9845 | test_acc 0.9769
  [T=10] Epoch  8 | loss 0.5917 | train_acc 0.9860 | test_acc 0.9776
  [T=10] Epoch  9 | loss 0.5332 | train_acc 0.9870 | test_acc 0.9777
  [T=10] Epoch 10 | loss 0.4940 | train_acc 0.9882 | test_acc 0.9785

=== Saved results to temperature_sweep.csv ===
  Teacher          [512, 512]: 0.9809
  Student baseline [128, 128]:   0.9761
  Student distilled T=1 :          0.9763
  Student distilled T=2 :          0.9764
  Student distilled T=3 :          0.9783
  Student distilled T=4 :          0.9790
  Student distilled T=5 :          0.9792
  Student distilled T=6 :          0.9791
  Student distilled T=7 :          0.9796
  Student distilled T=8 :          0.9801
  Student distilled T=9 :          0.9786
  Student distilled T=10:          0.9785
End time: Sat Feb 21 14:23:45 EST 2026
